"","cod_mun","populacao","faixa_pop","pib_per_cap","Num_sc","Num_pl","Num_chl","Num_consor","Num_fu","ser_perc","nota_transp_2016","leg.dummie_2012","idhm_quintil","idhm_2013"
"1281","2600708",38248,"4 - 20001 até 50000",6738.44,3,3,3,0,3,26.6,0,1,"segundo",0.604
"1282","2600807",22865,"4 - 20001 até 50000",5894.45,3,2,3,0,3,12.6,8.6,0,"segundo",0.598
"1283","2600906",22600,"4 - 20001 até 50000",7230.03,3,2,3,0,3,16.6,7.8,1,"primeiro",0.58
"1284","2601003",10795,"3 - 10001 até 20000",7636.52,2,3,3,0,3,16.6,6.7,1,"primeiro",0.572
"1285","2601052",19579,"3 - 10001 até 20000",5854.32,2,1,3,0,3,24.4,1.3,1,"primeiro",0.592
"1286","2601102",82298,"5 - 50001 até 100000",9463.13,3,2,3,1,3,33.4,6,1,"segundo",0.602
"1287","2601201",72672,"5 - 50001 até 100000",12027.21,3,3,3,0,3,42.3,6.5,1,"terceiro",0.667
"1288","2601300",13808,"3 - 10001 até 20000",5774.68,2,2,3,1,3,24.1,0.6,1,"primeiro",0.577
"1289","2601409",42105,"4 - 20001 até 50000",9317.26,3,2,3,0,3,11.8,1.7,1,"primeiro",0.586
"1290","2601508",11833,"3 - 10001 até 20000",5346.8,3,3,3,0,3,12.5,5,0,"primeiro",0.578
"1291","2601706",75186,"5 - 50001 até 100000",17497.48,3,2,3,0,3,0,6.7,0,"segundo",0.629
"1292","2601805",12487,"3 - 10001 até 20000",5671.68,2,3,3,1,3,23.8,0,1,"primeiro",0.559
"1293","2601904",60301,"5 - 50001 até 100000",9755.91,1,3,3,0,3,8.4,4.9,1,"segundo",0.606
"1294","2602001",37054,"4 - 20001 até 50000",5655.99,2,3,3,1,3,15.1,0.8,0,"primeiro",0.565
"1295","2602100",47520,"4 - 20001 até 50000",8574.86,2,3,3,0,3,17.1,8.5,0,"primeiro",0.563
"1296","2602209",38871,"4 - 20001 até 50000",6297.74,3,3,3,0,3,0,5.8,1,"segundo",0.602
"1297","2602308",38122,"4 - 20001 até 50000",7947.14,1,3,3,0,3,31.9,5.8,1,"primeiro",0.561
"1298","2602407",8997,"2 - 5001 até 10000",10406.02,2,3,3,0,3,25.1,4.5,0,"primeiro",0.547
"1299","2602506",7464,"2 - 5001 até 10000",6124.47,2,3,3,0,3,16.5,1.1,1,"primeiro",0.574
"1300","2602605",48541,"4 - 20001 até 50000",5808.32,3,3,3,0,3,2.1,2.7,1,"primeiro",0.562
"1301","2602704",12974,"3 - 10001 até 20000",6007.29,1,2,3,0,3,39.5,5.2,1,"segundo",0.593
"1302","2602803",55905,"5 - 50001 até 100000",5698.61,3,3,3,0,3,21,5.3,0,"primeiro",0.527
"1303","2602902",198383,"6 - 100001 até 500000",39760.84,3,3,3,0,3,29.7,7.6,1,"terceiro",0.686
"1304","2603009",32927,"4 - 20001 até 50000",11181.57,2,3,3,0,3,17.8,8.8,1,"segundo",0.623
"1305","2603108",19814,"3 - 10001 até 20000",7849.2,2,3,3,0,3,0,4.9,1,"primeiro",0.579
"1306","2603207",27959,"4 - 20001 até 50000",5661.68,3,2,3,0,3,16.5,7.4,0,"primeiro",0.522
"1307","2603306",11179,"3 - 10001 até 20000",7740.57,2,3,3,0,3,50.7,6.1,1,"primeiro",0.566
